		ENRC1	ENRC2	ENRC3	ENRI1	ENRI2	ENRI3
Gene: Mep1b	Type_Where: Enterocyte_villi	22.9592	22.7851	23.0826	29.5075	29.3195	29.3843
Gene: Reg3b	Type_Where: Enterocyte_villi	22.9399	0	0	29.215	30.5046	29.1597
Gene: Bche	Type_Where: Enterocyte_villi	23.4212	23.5506	23.4345	29.4975	29.4232	29.4731
Gene: Slc2a2	Type_Where: Enterocyte_villi	21.5137	20.7734	20.9988	27.1366	26.986	25.7549
Gene: Npc1l1	Type_Where: Enterocyte_villi	21.5107	21.7822	22.0276	27.1891	27.8074	27.1163
Gene: Fabp1	Type_Where: Enterocyte_villi	27.7179	27.8527	28.0488	33.1313	32.9679	33.0758
Gene: Abcg5	Type_Where: Enterocyte_villi	20.5225	20.9126	21.1189	26.1002	26.3437	26.0814
Gene: Slc5a1	Type_Where: Enterocyte_villi	24.1297	24.2081	23.889	29.2702	29.2515	29.288
Gene: Shpk	Type_Where: Enterocyte_villi	21.7415	21.9916	21.5029	26.3561	27.1305	26.8521
Gene: Ces1f	Type_Where: Enterocyte_villi	26.1733	25.7144	25.7576	30.8062	30.8438	30.8208
Gene: Aldh1a1	Type_Where: Enterocyte_villi	28.5422	28.3473	28.4332	33.3184	33.445	33.4522
Gene: Rbp2	Type_Where: Enterocyte_villi	26.3176	25.8057	26.123	31.0464	30.9879	31.1213
Gene: Papss2	Type_Where: Enterocyte_villi	27.2971	27.2605	27.3225	32.1062	32.1194	32.0893
Gene: Ephx2	Type_Where: Enterocyte_villi	25.435	25.1364	25.4788	30.1465	30.2619	30.241
Gene: Cyp4v2	Type_Where: Enterocyte_villi	22.5477	22.2833	23.1209	27.4092	27.1031	27.3367
Gene: Abat	Type_Where: Enterocyte_villi	22.6467	22.5814	21.8399	28.1489	26.871	27.3583
Gene: Fmo5	Type_Where: Enterocyte_villi	26.2288	26.2968	26.0527	30.919	31.0026	31.0672
Gene: Btnl1	Type_Where: Enterocyte_villi	21.8667	19.822	19.8214	24.4125	24.618	24.5671
Gene: Dpyd	Type_Where: Enterocyte_villi	23.3965	24.0613	24.4738	28.7943	28.8971	28.7595
Gene: Sult1d1	Type_Where: Enterocyte_villi	26.1028	26.0299	25.9396	30.6954	30.7482	30.7928
Gene: Gda	Type_Where: Enterocyte_villi	20.1938	20.7176	20.5157	25.3001	25.2	24.3792
Gene: St3gal4	Type_Where: Enterocyte_villi	23.2101	23.3717	23.8141	28.0418	27.9409	28.0479
Gene: Maob	Type_Where: Enterocyte_villi	26.6122	26.5816	26.4718	31.1781	31.241	31.185
Gene: Tm6sf2	Type_Where: Enterocyte_villi	21.9084	22.0399	21.6302	26.4494	26.465	26.6192
Gene: Sult1b1	Type_Where: Enterocyte_villi	26.1702	26.1468	25.9787	30.6028	30.7519	30.6642
Gene: S100g	Type_Where: Enterocyte_villi	25.2703	23.3624	25.098	29.6187	29.4679	29.5881
Gene: Xdh	Type_Where: Enterocyte_villi	24.6716	24.8022	24.9409	29.2599	29.2057	29.2916
Gene: Aldob	Type_Where: Enterocyte_villi	31.0684	31.2136	31.1229	35.5496	35.5439	35.5302
Gene: Cobl	Type_Where: Enterocyte_villi	24.051	22.3191	23.403	28.1281	27.6848	27.5846
Gene: Apoa4	Type_Where: Enterocyte_villi	26.2961	26.3194	26.2488	30.5177	30.7058	30.522
Gene: Pfkfb4	Type_Where: Enterocyte_villi	22.6373	23.2973	22.5997	26.7244	27.6322	26.8212
Gene: Cyp4f14	Type_Where: Enterocyte_villi	20.1571	21.3221	21.4063	26.7437	25.3711	25.1869
Gene: Apob	Type_Where: Enterocyte_villi	28.1517	27.915	28.0527	32.0035	31.9344	31.966
Gene: Abcc2	Type_Where: Enterocyte_villi	23.1922	23.2028	22.7635	27.0066	27.0522	27.0089
Gene: Ugt1a1	Type_Where: Enterocyte_villi	25.6163	25.8413	25.882	29.6158	29.6441	29.6132
Gene: Fmo4	Type_Where: Enterocyte_villi	24.7111	21.7593	21.8887	25.5158	25.9939	25.6293
Gene: Ces2a	Type_Where: Enterocyte_villi	28.0668	28.052	27.8682	31.737	31.7811	31.8309
Gene: Agpat9	Type_Where: Enterocyte_villi	22.3306	23.2488	23.0942	26.7747	27.0113	26.084
Gene: Aldh1a7	Type_Where: Enterocyte_villi	25.9427	25.8929	26.0655	29.5771	29.5484	29.5926
Gene: Naip1	Type_Where: Enterocyte_villi	23.8103	24.1258	22.1447	27.4201	27.326	27.3704
Gene: Cyp3a13	Type_Where: Enterocyte_villi	27.1944	27.1577	27.0739	30.6508	30.7172	30.8233
Gene: Slc25a45	Type_Where: Enterocyte_villi	21.334	0	0	24.1319	25.0829	24.8914
Gene: Cda	Type_Where: Enterocyte_villi	26.5292	26.4989	26.5538	30.1641	29.9578	30.0844
Gene: Dak	Type_Where: Enterocyte_villi	30.2638	30.3161	30.3144	33.7946	33.7853	33.8188
Gene: Abcg2	Type_Where: Enterocyte_villi	23.3867	23.4189	23.9242	27.0227	26.6664	26.8841
Gene: Crat	Type_Where: Enterocyte_villi	22.709	22.8596	22.6402	26.212	26.1676	26.17
Gene: Gstm6	Type_Where: Enterocyte_villi	21.7816	21.9286	21.783	26.3445	25.2243	25.202
Gene: Gsta1	Type_Where: Enterocyte_villi	31.0498	31.0739	31.0746	34.4957	34.4776	34.4562
Gene: Lipe	Type_Where: Enterocyte_villi	21.2411	21.9838	20.6912	23.5763	24.6362	24.6599
Gene: Dgat1	Type_Where: Enterocyte_villi	25.6036	25.5489	25.4067	28.9426	28.94	28.9264
Gene: Gstm3	Type_Where: Enterocyte_villi	29.0397	29.0779	28.8968	32.3908	32.4453	32.402
Gene: Ces2e	Type_Where: Enterocyte_villi	29.5333	29.6001	29.4555	32.598	32.8382	32.7927
Gene: Mttp	Type_Where: Enterocyte_villi	31.0192	30.9985	30.9448	34.2517	34.1923	34.3122
Gene: Maoa	Type_Where: Enterocyte_villi	28.8827	28.8569	28.7871	32.1099	32.0961	32.1564
Gene: Smpdl3a	Type_Where: Enterocyte_villi	24.3155	24.5037	25.053	27.7333	27.4759	27.7123
Gene: Pm20d1	Type_Where: Enterocyte_villi	22.8303	22.5243	22.4292	25.7248	25.6296	25.6607
Gene: Cmbl	Type_Where: Enterocyte_villi	24.865	25.118	24.9722	28.1019	28.1051	28.1573
Gene: Naprt	Type_Where: Enterocyte_villi	24.3198	24.9191	24.6094	27.7089	27.7195	27.7729
Gene: Acad11	Type_Where: Enterocyte_villi	26.5878	26.9525	26.7033	29.7721	29.7667	29.7989
Gene: Ccl25	Type_Where: Enterocyte_villi	22.3557	21.9888	22.4244	25.391	24.8269	25.3855
Gene: Ces2c	Type_Where: Enterocyte_villi	28.6619	28.589	28.4686	31.4242	31.5324	31.5575
Gene: Thnsl2	Type_Where: Enterocyte_villi	23.3877	23.2212	23.3522	26.25	26.5151	26.2925
Gene: Gramd3	Type_Where: Enterocyte_villi	23.3621	23.016	23.2403	26.1525	26.1954	25.6174
Gene: Ugt2a3	Type_Where: Enterocyte_villi	27.1113	27.1999	27.1127	29.9664	29.9514	30.2615
Gene: Ms4a10	Type_Where: Enterocyte_villi	22.6615	0	0	25.4881	25.586	25.3544
Gene: Hpgd	Type_Where: Enterocyte_villi	21.7304	0	0	24.4468	24.5531	24.7231
Gene: Mogat2	Type_Where: Enterocyte_villi	25.3934	25.6721	25.5942	28.3933	28.317	28.4084
Gene: Hectd3	Type_Where: Enterocyte_villi	24.9413	24.9598	25.2388	27.8124	27.754	27.3232
Gene: Retsat	Type_Where: Enterocyte_villi	25.6119	25.8596	25.7632	28.5557	28.5013	28.6292
Gene: Sult2b1	Type_Where: Enterocyte_villi	22.5906	22.3071	23.0826	25.088	25.7277	25.3711
Gene: Fahd1	Type_Where: Enterocyte_villi	25.9533	24.0074	25.8104	28.5475	27.7696	28.6005
Gene: Cyp2j6	Type_Where: Enterocyte_villi	27.173	27.3466	27.1792	29.7638	29.8738	29.8976
Gene: Hkdc1	Type_Where: Enterocyte_villi	27.1526	27.3261	27.1872	29.9627	29.8804	29.8155
Gene: Bpnt1	Type_Where: Enterocyte_villi	29.1924	29.2089	29.1863	31.8736	31.8142	31.965
Gene: Gpd1	Type_Where: Enterocyte_villi	29.137	29.2904	29.1893	31.8324	31.772	31.8863
Gene: Tmem135	Type_Where: Enterocyte_villi	21.2416	21.2774	21.249	23.98	22.9523	23.8032
Gene: Tmem236	Type_Where: Enterocyte_villi	24.4035	24.1245	24.1276	26.6255	26.6349	26.6564
Gene: Rab17	Type_Where: Enterocyte_villi	23.0311	23.2988	23.3773	25.733	25.766	25.6044
Gene: Dnm1	Type_Where: Enterocyte_villi	24.0291	23.5106	24.0894	27.3063	26.4491	26.3454
Gene: Gpt	Type_Where: Enterocyte_villi	23.6009	23.7196	23.9904	26.0542	26.1046	26.1855
Gene: Entpd5	Type_Where: Enterocyte_villi	26.9162	26.8771	26.7985	29.1165	29.2819	29.2469
Gene: Casp1	Type_Where: Enterocyte_villi	27.0435	26.7826	26.8728	29.2372	29.2709	29.2003
Gene: Agmo	Type_Where: Enterocyte_villi	22.6807	22.8229	22.4126	25.165	25.0254	24.9627
Gene: Zzef1	Type_Where: Enterocyte_villi	24.028	24.8133	24.5835	26.9111	26.8858	26.9028
Gene: Galm	Type_Where: Enterocyte_villi	27.0005	27.0256	27.1444	29.2799	29.3498	29.3223
Gene: Fam213b	Type_Where: Enterocyte_villi	25.9219	26.0967	25.9433	28.349	28.2071	28.1777
Gene: Casp7	Type_Where: Enterocyte_villi	24.3781	24.4497	24.6166	26.7077	26.6335	26.7744
Gene: Hsd17b2	Type_Where: Enterocyte_villi	23.8305	24.1246	23.9584	26.2143	26.1779	26.1321
Gene: Hagh	Type_Where: Enterocyte_villi	25.2599	25.0381	25.0993	27.2514	27.3003	27.2986
Gene: Hadh	Type_Where: Enterocyte_villi	29.8852	30.0415	29.8896	32.0776	32.0601	31.9776
Gene: Cideb	Type_Where: Enterocyte_villi	21.1586	21.3028	0	23.5123	23.3962	23.0539
Gene: Idh1	Type_Where: Enterocyte_villi	31.0018	31.1885	30.9936	33.081	33.1632	33.184
Gene: 37316	Type_Where: Enterocyte_villi	29.9669	30.1612	29.9361	32.1103	32.143	32.1242
Gene: Acaa1a	Type_Where: Enterocyte_villi	29.5915	29.5397	29.5111	31.7321	31.6679	31.6552
Gene: Akr1b7	Type_Where: Enterocyte_villi	27.9961	28.0158	28.0122	30.164	30.0951	30.0991
Gene: Ehhadh	Type_Where: Enterocyte_villi	28.9019	28.9328	28.7903	31.0892	30.9684	30.988
Gene: Sec23a	Type_Where: Enterocyte_villi	27.6041	27.7333	27.6894	29.7676	29.7735	29.9051
Gene: Acaa2	Type_Where: Enterocyte_villi	30.8269	30.9232	30.7087	32.8488	32.9346	32.8813
Gene: Nlrp6	Type_Where: Enterocyte_villi	25.742	25.3579	25.896	27.7858	27.7135	27.8587
Gene: Gnpda1	Type_Where: Enterocyte_villi	22.7966	22.0974	21.9236	23.9989	24.3633	24.0865
Gene: Hdhd3	Type_Where: Enterocyte_villi	27.1515	27.1839	27.1079	29.1044	29.1444	29.1269
Gene: Acox1	Type_Where: Enterocyte_villi	29.1123	29.0723	29.0048	31.0408	31.0381	31.0911
Gene: Acot11	Type_Where: Enterocyte_villi	24.2771	24.5862	24.497	26.4601	26.4401	26.526
Gene: Gna11	Type_Where: Enterocyte_villi	28.1242	28.1	28.0198	30.0607	30.0209	30.0479
Gene: Tmem120a	Type_Where: Enterocyte_villi	24.3618	24.969	24.2194	26.2211	26.3009	26.3327
Gene: Cndp2	Type_Where: Enterocyte_villi	28.2422	28.3381	28.3151	30.2435	30.2608	30.2486
Gene: Ugt1a7c	Type_Where: Enterocyte_villi	31.2686	31.2583	31.1049	33.1583	33.1907	33.1619
Gene: Ctss	Type_Where: Enterocyte_villi	22.781	0	23.0261	25.3972	24.1139	24.7545
Gene: Abr	Type_Where: Enterocyte_villi	24.5696	24.525	24.6833	26.5448	26.1507	26.412
Gene: Acsl5	Type_Where: Enterocyte_villi	30.3311	30.3587	30.2639	32.0821	32.1767	32.1556
Gene: Pttg1ip	Type_Where: Enterocyte_villi	22.6824	23.0779	23.0508	24.0249	24.8692	25.068
Gene: Acp5	Type_Where: Enterocyte_villi	25.2257	25.1691	24.7492	26.8777	26.9675	26.9654
Gene: Tep1	Type_Where: Enterocyte_villi	23.5191	23.3523	23.5249	25.419	25.3109	24.9647
Gene: Itfg3	Type_Where: Enterocyte_villi	26.0264	26.0207	25.9176	27.8115	27.7943	27.8075
Gene: Trim31	Type_Where: Enterocyte_villi	24.3683	24.2048	24.5422	26.1492	26.227	26.1521
Gene: Scp2	Type_Where: Enterocyte_villi	29.1407	29.2324	29.1028	30.862	30.9053	30.894
Gene: Slc27a4	Type_Where: Enterocyte_villi	25.7487	25.7939	25.5607	27.3272	27.4453	27.4384
Gene: Cyb5r3	Type_Where: Enterocyte_villi	29.7951	29.7862	29.4825	31.342	31.5154	31.4706
Gene: Lrp1	Type_Where: Enterocyte_villi	22.8615	24.9308	24.2705	25.9478	25.7078	26.1753
Gene: Prap1	Type_Where: Enterocyte_villi	23.4061	23.4136	23.4512	25.1203	25.0329	25.0846
Gene: Mical2	Type_Where: Enterocyte_villi	22.7257	22.6286	22.5827	24.2738	23.6995	24.4703
Gene: Ugdh	Type_Where: Enterocyte_villi	30.9582	30.8901	31.0298	32.5912	32.6501	32.5899
Gene: Tspan15	Type_Where: Enterocyte_villi	24.8624	25.1044	24.6516	26.8266	26.4564	26.4942
Gene: Slc43a2	Type_Where: Enterocyte_villi	0	0	21.6904	23.3167	23.2663	23.4907
Gene: Slc7a7	Type_Where: Enterocyte_villi	22.9932	23.0648	23.2704	24.6886	24.6413	24.7286
Gene: Klc4	Type_Where: Enterocyte_villi	26.6284	26.6479	26.5722	28.2505	28.2221	28.2504
Gene: Myo7a	Type_Where: Enterocyte_villi	24.3076	24.3715	24.739	25.9867	25.8643	26.2348
Gene: Gsta4	Type_Where: Enterocyte_villi	29.7829	29.8618	29.7237	31.3951	31.4187	31.3808
Gene: Soat2	Type_Where: Enterocyte_villi	24.1614	24.1306	24.2518	25.6438	25.8332	25.7546
Gene: Reep6	Type_Where: Enterocyte_villi	26.5127	26.4994	26.3106	28.0875	28.2584	28.0536
Gene: Dhrs1	Type_Where: Enterocyte_villi	28.6566	28.561	28.4261	30.1377	30.0941	30.2617
Gene: Abcb1a	Type_Where: Enterocyte_villi	28.3847	28.4367	28.3516	29.9581	29.8913	29.966
Gene: Agpat2	Type_Where: Enterocyte_villi	24.5225	24.0466	24.6398	25.8944	26.0928	26.1419
Gene: Acy1	Type_Where: Enterocyte_villi	26.0916	26.1771	26.1894	27.7049	27.7928	27.7441
Gene: Chp2	Type_Where: Enterocyte_villi	0	0	22.5473	24.0799	24.132	24.0602
Gene: Decr1	Type_Where: Enterocyte_villi	28.6213	28.6119	28.6026	30.217	30.1207	30.1413
Gene: Mpp1	Type_Where: Enterocyte_villi	27.496	27.4138	27.4874	28.9947	29.0072	28.8978
Gene: Acadm	Type_Where: Enterocyte_villi	28.9101	28.9563	28.859	30.3838	30.4167	30.4519
Gene: Mvp	Type_Where: Enterocyte_villi	30.1809	30.1244	30.1204	31.5862	31.5899	31.6374
Gene: Epb41l3	Type_Where: Enterocyte_villi	27.959	27.9727	28.0212	29.4683	29.4233	29.4323
Gene: Galt	Type_Where: Enterocyte_villi	23.0261	23.184	23.197	24.613	24.8178	24.3438
Gene: Pgm1	Type_Where: Enterocyte_villi	29.0355	29.1237	29.0084	30.4375	30.4485	30.4819
Gene: Coro2a	Type_Where: Enterocyte_villi	27.1894	27.2316	27.109	28.5714	28.6181	28.5917
Gene: Ckmt1	Type_Where: Enterocyte_villi	31.2105	31.279	31.1727	32.6582	32.595	32.5819
Gene: Gpr128	Type_Where: Enterocyte_villi	27.1964	27.1831	27.1199	28.4367	28.5419	28.5331
Gene: Bcl2l15	Type_Where: Enterocyte_villi	22.4623	22.4085	0	23.468	23.7808	25.2684
Gene: Gstk1	Type_Where: Enterocyte_villi	26.3281	26.3691	26.4006	27.7581	27.7056	27.6726
Gene: Tmem253	Type_Where: Enterocyte_villi	22.2365	21.9381	21.7651	24.2706	22.9399	23.2684
Gene: Vmp1	Type_Where: Enterocyte_villi	26.0963	25.8981	25.6544	27.2085	27.2247	27.4711
Gene: Rmdn3	Type_Where: Enterocyte_villi	26.0169	26.0351	25.9328	27.3284	27.2986	27.42
Gene: Ggact	Type_Where: Enterocyte_villi	24.1645	24.428	24.0902	25.1809	25.472	25.5261
Gene: Erbb3	Type_Where: Enterocyte_villi	23.4382	23.4349	23.6254	24.734	24.7176	25.1049
Gene: Casp6	Type_Where: Enterocyte_villi	25.9049	26.4985	26.1202	27.0437	27.6042	27.3913
Gene: Ccs	Type_Where: Enterocyte_villi	24.7301	24.9384	24.8864	26.1528	26.2322	26.1461
Gene: Snx9	Type_Where: Enterocyte_villi	26.2945	26.3416	26.3699	27.5876	27.6551	27.5777
Gene: Txndc17	Type_Where: Enterocyte_villi	26.5617	26.3811	26.4786	27.7093	27.6802	27.8598
Gene: Pex11a	Type_Where: Enterocyte_villi	21.5092	21.4503	0	22.6818	22.8227	22.7044
Gene: Gsdmdc1	Type_Where: Enterocyte_villi	26.6315	26.6608	26.8249	27.7605	27.8822	27.8945
Gene: Stom	Type_Where: Enterocyte_villi	24.7192	24.0562	24.4876	25.7336	25.4302	25.7008
Gene: Aldh9a1	Type_Where: Enterocyte_villi	29.907	29.909	29.8658	31.0979	31.1151	31.167
Gene: Hsd17b4	Type_Where: Enterocyte_villi	30.0137	30.1049	29.9588	31.214	31.2048	31.216
Gene: Pls1	Type_Where: Enterocyte_villi	30.1011	30.2703	30.1629	31.2971	31.3512	31.359
Gene: Ccdc134	Type_Where: Enterocyte_villi	24.498	24.3625	24.4838	25.663	25.5639	25.7821
Gene: Pcyt1a	Type_Where: Enterocyte_villi	27.4816	27.3531	27.4481	28.5745	28.6473	28.6158
Gene: Mylk	Type_Where: Enterocyte_villi	25.308	25.2629	25.3325	26.4639	26.4046	26.4519
Gene: Sar1b	Type_Where: Enterocyte_villi	28.514	28.6451	28.5868	29.7266	29.8195	29.688
Gene: Frk	Type_Where: Enterocyte_villi	26.4443	26.3611	26.3656	27.4946	27.5863	27.4575
Gene: Lypla1	Type_Where: Enterocyte_villi	27.0956	26.9805	27.1406	28.2148	28.3308	28.1867
Gene: Adipor2	Type_Where: Enterocyte_villi	22.5672	23.2475	22.6763	24.3143	23.7888	23.7018
Gene: Bco2	Type_Where: Enterocyte_villi	24.1419	23.8578	23.8469	24.9647	24.9599	24.7751
Gene: Aldh1l1	Type_Where: Enterocyte_villi	28.5309	28.596	28.5911	29.6746	29.6872	29.7537
Gene: Mdh2	Type_Where: Enterocyte_villi	33.3062	33.2146	33.1192	34.2546	34.3089	34.3105
Gene: Abhd3	Type_Where: Enterocyte_villi	23.0592	22.4854	22.7792	23.8731	23.4718	24.0963
Gene: Ilvbl	Type_Where: Enterocyte_villi	26.8522	27.0426	26.6271	27.946	27.8592	27.9845
Gene: Faah	Type_Where: Enterocyte_villi	27.2031	26.9423	27.2926	28.2961	28.6402	28.1123
Gene: Ogdh	Type_Where: Enterocyte_villi	30.6511	30.8009	30.6256	31.7384	31.7014	31.7835
Gene: Lpcat3	Type_Where: Enterocyte_villi	27.8336	28.1093	27.7804	28.959	28.8601	28.8774
Gene: Tor1aip2	Type_Where: Enterocyte_villi	27.5047	27.6321	27.4589	28.5174	28.528	28.64
Gene: Akr7a2	Type_Where: Enterocyte_villi	28.8662	28.9318	28.9994	29.8435	30.0436	29.9516
Gene: Abcd3	Type_Where: Enterocyte_villi	29.4604	29.5413	29.2876	30.379	30.5874	30.4691
Gene: Sgpl1	Type_Where: Enterocyte_villi	28.3806	28.4427	28.3139	29.4089	29.3466	29.3787
Gene: Plin3	Type_Where: Enterocyte_villi	29.1473	29.2241	29.3261	30.1353	30.2535	30.2034
Gene: Parp9	Type_Where: Enterocyte_villi	23.9339	24.0801	24.3162	25.3795	25.0529	24.8533
Gene: Rfk	Type_Where: Enterocyte_villi	25.0652	25.1118	24.9712	25.9939	25.945	26.0402
Gene: Vat1	Type_Where: Enterocyte_villi	28.7874	28.7783	28.7359	29.7936	29.7069	29.6567
Gene: Hadha	Type_Where: Enterocyte_villi	31.8957	31.8609	31.7857	32.7605	32.7889	32.8001
Gene: Ap2a2	Type_Where: Enterocyte_villi	28.498	28.618	28.4865	29.4149	29.3472	29.4401
Gene: Sqrdl	Type_Where: Enterocyte_villi	30.3115	30.39	30.2519	31.1728	31.2229	31.2413
Gene: Cdh17	Type_Where: Enterocyte_villi	31.1688	31.1548	31.15	32.1215	32.0025	32.0611
Gene: Spint1	Type_Where: Enterocyte_villi	25.378	24.9483	25.2266	25.781	26.6039	26.1136
Gene: Atp6v0a2	Type_Where: Enterocyte_villi	25.2186	25.3122	25.3541	26.1874	26.1176	26.2493
Gene: Pepd	Type_Where: Enterocyte_villi	27.9576	28.0165	27.9801	28.8082	28.8359	28.8316
Gene: Atp1a1	Type_Where: Enterocyte_villi	33.1001	33.1877	33.0036	33.9464	33.8266	33.9538
Gene: Dnpep	Type_Where: Enterocyte_villi	28.6176	28.5916	28.6984	29.3513	29.4843	29.4513
Gene: Nipsnap3b	Type_Where: Enterocyte_villi	26.579	26.8125	26.7282	27.7152	27.5478	27.353
Gene: Sfxn1	Type_Where: Enterocyte_villi	29.262	29.3067	29.3482	30.1411	30.0229	30.1181
Gene: Acp6	Type_Where: Enterocyte_villi	26.5757	26.8066	26.6178	27.4345	27.3894	27.4107
Gene: Dqx1	Type_Where: Enterocyte_villi	0	0	23.1832	23.8952	24.196	23.9717
Gene: Abhd6	Type_Where: Enterocyte_villi	25.3806	25.7889	25.4343	25.9556	26.2208	26.2373
Gene: Cyb5b	Type_Where: Enterocyte_villi	30.524	30.6876	30.5969	31.3806	31.5345	31.2727
Gene: Xpnpep1	Type_Where: Enterocyte_villi	28.4101	28.5288	28.5675	29.4453	29.276	29.1867
Gene: Gpi	Type_Where: Enterocyte_villi	31.7934	31.902	31.9035	32.6231	32.6509	32.6469
Gene: Optn	Type_Where: Enterocyte_villi	21.9238	21.8441	21.8742	22.5995	22.6904	22.5515
Gene: Rufy3	Type_Where: Enterocyte_villi	0	22.78	23.1507	23.7786	23.6511	23.5107
Gene: Pld1	Type_Where: Enterocyte_villi	25.9997	26.0073	25.9736	26.7935	26.6709	26.676
Gene: Slc46a1	Type_Where: Enterocyte_villi	21.3489	21.595	21.3703	22.0955	21.9975	22.0411
Gene: Ttyh2	Type_Where: Enterocyte_villi	21.7646	21.6763	21.7567	22.4193	22.1624	22.6014
Gene: Pex19	Type_Where: Enterocyte_villi	25.7275	25.6316	26.0666	26.3292	26.5624	26.3767
Gene: Gng12	Type_Where: Enterocyte_villi	28.299	28.2772	28.3757	28.9562	28.8305	28.9449
Gene: Mcu	Type_Where: Enterocyte_villi	29.3503	29.5228	29.2367	29.8416	29.9779	30.0053
Gene: Tmem230	Type_Where: Enterocyte_villi	22.9555	22.7336	22.6694	23.349	23.4584	23.3143
Gene: Myo1d	Type_Where: Enterocyte_villi	30.5207	30.6545	30.4178	31.096	31.1351	31.1338
Gene: Pcsk5	Type_Where: Enterocyte_villi	23.0727	22.8687	22.9743	23.4725	23.5706	23.6919
Gene: Pgd	Type_Where: Enterocyte_villi	32.0658	32.1496	32.0416	32.6084	32.6778	32.6504
Gene: Pgm2	Type_Where: Enterocyte_villi	29.005	29.1329	29.031	29.6134	29.5392	29.6696
Gene: Ezr	Type_Where: Enterocyte_villi	31.4352	31.5279	31.4584	31.9781	32.0241	32.1059
Gene: Cast	Type_Where: Enterocyte_villi	27.4789	27.2926	27.446	28.0089	28.0557	27.9473
Gene: Gk	Type_Where: Enterocyte_villi	25.1027	25.309	25.1062	25.6593	25.4843	25.7189
Gene: Farp2	Type_Where: Enterocyte_villi	22.7026	22.897	22.9513	23.4493	23.6225	23.4317
Gene: Tubal3	Type_Where: Enterocyte_villi	24.3008	24.6318	23.6869	24.8451	24.8605	24.6007
Gene: Lpgat1	Type_Where: Enterocyte_villi	24.4553	24.7719	24.4243	24.9969	25.3222	24.9725
Gene: Lad1	Type_Where: Enterocyte_villi	29.9496	30.0349	30.0469	30.5703	30.4882	30.5997
Gene: Ccdc88c	Type_Where: Enterocyte_villi	23.9675	24.1025	23.9327	24.5627	24.376	24.4969
Gene: Aldh18a1	Type_Where: Enterocyte_villi	31.7142	31.8389	31.6762	32.2396	32.2586	32.2283
Gene: Dlst	Type_Where: Enterocyte_villi	29.4998	29.5271	29.4558	30.0009	30.0621	30.0164
Gene: Actn4	Type_Where: Enterocyte_villi	32.5503	32.6526	32.4909	33.0631	32.9788	33.1224
Gene: Baiap2l1	Type_Where: Enterocyte_villi	26.8229	26.8978	26.8473	27.2829	27.3561	27.4013
Gene: Itga3	Type_Where: Enterocyte_villi	26.6657	26.7656	26.6292	27.0956	27.1771	27.1302
Gene: Tbc1d22a	Type_Where: Enterocyte_villi	23.2733	23.4672	22.8987	23.7373	24.0571	23.6646
Gene: Fam3b	Type_Where: Enterocyte_villi	24.0803	24.6969	25.28	25.1435	25.2829	25.0297
Gene: Itpk1	Type_Where: Enterocyte_villi	23.0395	21.8608	22.6653	22.9919	24.1724	23.1034
Gene: Upp1	Type_Where: Enterocyte_villi	23.98	0	24.132	24.4745	24.4449	24.3296
Gene: Aprt	Type_Where: Enterocyte_villi	29.1767	29.1942	29.1905	29.43	29.5348	29.5878
Gene: Tax1bp3	Type_Where: Enterocyte_villi	25.6426	25.4409	25.268	25.9123	25.5665	25.7369
Gene: Dbnl	Type_Where: Enterocyte_villi	28.2995	28.3857	28.4895	28.6788	28.6733	28.6726
Gene: Stx12	Type_Where: Enterocyte_villi	27.3973	27.3694	27.4225	27.6611	27.5304	27.7557
Gene: Eno1	Type_Where: Enterocyte_villi	34.0156	34.019	34.0286	34.2556	34.2813	34.3591
Gene: Dst	Type_Where: Enterocyte_villi	28.7757	28.9011	29.0106	29.0566	29.3857	29.0387
Gene: Ptdss1	Type_Where: Enterocyte_villi	23.9802	23.8482	23.8697	24.0061	24.4034	23.9271
Gene: Sco2	Type_Where: Enterocyte_villi	25.8627	25.9117	25.6629	25.8519	26.0599	25.9487
Gene: Pccb	Type_Where: Enterocyte_villi	27.7349	27.6012	27.5792	27.6843	27.7163	27.6594
Gene: Frmd8	Type_Where: Enterocyte_villi	24.546	24.6332	24.7166	24.5452	24.7006	24.7399
Gene: Man1b1	Type_Where: Enterocyte_villi	23.9586	24.1421	24.0941	24.1358	23.9645	24.1481
Gene: Cstb	Type_Where: Enterocyte_villi	27.1227	27.1391	27.2758	27.1849	27.1545	27.1408
Gene: Ckb	Type_Where: Enterocyte_villi	31.0302	31.0113	30.9913	31.0266	31.0215	30.9869
Gene: Ppap2a	Type_Where: Enterocyte_villi	27.9774	27.8684	27.9399	27.8663	27.748	27.8929
Gene: Myo5b	Type_Where: Enterocyte_villi	28.7265	28.8486	28.7514	28.5557	28.6436	28.6751
Gene: Gstm5	Type_Where: Enterocyte_villi	26.0243	26.05	26.0766	25.8794	25.9185	25.9693
Gene: Slc3a2	Type_Where: Enterocyte_villi	29.5331	29.5797	29.5073	29.2761	29.193	29.2346
Gene: Htra2	Type_Where: Enterocyte_villi	25.0763	25.0587	24.9728	24.7534	24.7174	24.7188
Gene: Slc39a4	Type_Where: Enterocyte_villi	24.4244	24.7352	24.6568	24.0899	24.0897	23.9139
Gene: Lgals3	Type_Where: Enterocyte_villi	29.8972	29.903	29.8579	29.0345	29.1898	29.1189
Gene: Srsf10	Type_Where: Enterocyte_villi	26.6711	26.8371	26.798	25.9695	26.0113	26.0681
